user,service,value,startDate,id,type
ymETMF4M4,capuccino,1.0,1559204877943,277,INTERACTION
gKUuuzg9,milk_coffee,1.0,1559206340370,278,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1559206382014,279,INTERACTION
M8TX69h8,milk_coffee,1.0,1559207020159,280,INTERACTION
2qDLEBNv,long_coffee,1.0,1559207129856,281,INTERACTION
jb1CjU1HF,chocolate,1.0,1559208371686,282,INTERACTION
13zpiFiAzJ,expresso,1.0,1559208429495,283,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1559209925357,284,INTERACTION
FmxgvxmU,cortado,1.0,1559211926054,285,INTERACTION
M8TX69h8,milk_coffee,1.0,1559215546332,286,INTERACTION
D6F0qp7s7,cortado,1.0,1559215597082,287,INTERACTION
IQtg13hB,expresso,1.0,1559217275929,288,INTERACTION
d4guBrpB,cortado,1.0,1559227748038,289,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1559284356055,290,INTERACTION
P5BAwzTfB,capuccino decaffeinated,1.0,1559284379552,291,INTERACTION
ymETMF4M4,capuccino,1.0,1559290058102,292,INTERACTION
P5BAwzTfB,capuccino,1.0,1559291198909,293,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1559291481827,294,INTERACTION
d4guBrpB,cortado,1.0,1559293249305,295,INTERACTION
FmxgvxmU,cortado,1.0,1559295142745,296,INTERACTION
qpzNDzybrsi,expresso,1.0,1559295170216,297,INTERACTION
93xlxT,chocolate,1.0,1559296689891,298,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1559297878721,299,INTERACTION
gKUuuzg9,milk_coffee,1.0,1559297953741,300,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1559299701046,301,INTERACTION
CuAgSlJwl,milk_coffee,1.0,1559301717820,302,INTERACTION
P5BAwzTfB,hazelnut_cappuccino,1.0,1559301794789,303,INTERACTION
IQtg13hB,expresso,1.0,1559303364932,304,INTERACTION
FmxgvxmU,cortado,1.0,1559303477192,305,INTERACTION
D6F0qp7s7,cortado,1.0,1559304511398,306,INTERACTION
ymETMF4M4,long_coffee,1.0,1559311347435,307,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1559312888267,308,INTERACTION
jb1CjU1HF,chocolate,1.0,1559317587271,309,INTERACTION
5pVcV5V,chocolate,1.0,1559542561133,310,INTERACTION
ymETMF4M4,capuccino,1.0,1559543987479,311,INTERACTION
OJwzAJ33l,long_coffee,1.0,1559544093456,312,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1559546735576,313,INTERACTION
FmxgvxmU,cortado,1.0,1559548392971,314,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1559549243514,315,INTERACTION
gKUuuzg9,milk_coffee,1.0,1559553020557,316,INTERACTION
CkfZksM2rBrL,cortado,1.0,1559553839633,317,INTERACTION
