user,service,value,startDate,id,contextvalue,contextname,type
5pVcV5V,chocolate,1.0,1558420530723,103,supervisor,role,INTERACTION
5pVcV5V,chocolate,1.0,1558420530723,103,t1,shift,INTERACTION
5pVcV5V,chocolate,1.0,1558420530723,103,1,dayofweek,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558420592287,104,doctoral student,role,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558420592287,104,t1,shift,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558420592287,104,1,dayofweek,INTERACTION
CkfZksM2rBrL,cortado,1.0,1558422529790,105,associated teacher,role,INTERACTION
CkfZksM2rBrL,cortado,1.0,1558422529790,105,t1,shift,INTERACTION
CkfZksM2rBrL,cortado,1.0,1558422529790,105,1,dayofweek,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1558423669432,106,associated teacher,role,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1558423669432,106,t1,shift,INTERACTION
Vhpk5shpkk,decaffeinated,1.0,1558423669432,106,1,dayofweek,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1558426597081,107,administrative,role,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1558426597081,107,t1,shift,INTERACTION
D6F0qp7s7,milk_coffee,1.0,1558426597081,107,1,dayofweek,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1558426615315,108,supervisor,role,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1558426615315,108,t1,shift,INTERACTION
iia5SP5,hazelnut_cappuccino,1.0,1558426615315,108,1,dayofweek,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1558427761120,109,supervisor,role,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1558427761120,109,t1,shift,INTERACTION
5pVcV5V,hazelnut_cappuccino,1.0,1558427761120,109,1,dayofweek,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558427793030,110,doctoral student,role,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558427793030,110,t1,shift,INTERACTION
gKUuuzg9,milk_coffee,1.0,1558427793030,110,1,dayofweek,INTERACTION
ymETMF4M4,decaffeinated,1.0,1558428661847,111,doctoral student,role,INTERACTION
ymETMF4M4,decaffeinated,1.0,1558428661847,111,t1,shift,INTERACTION
