user,service_name,parameter,subservice_name,value,startdate,id,contextvalue,context_name
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696927289,1057,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696947802,1058,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1696947802,1058,t2,shift
afgomez,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1697013963,1059,GeneralResearcher,role
afgomez,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1697013963,1059,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1697440392,1060,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1697440392,1060,t1,shift
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1697465112,1061,GeneralResearcher,role
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1697465112,1061,t2,shift
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1697531179,1062,GeneralResearcher,role
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1697531179,1062,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1697533040,1063,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1697533040,1063,t1,shift
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1697636194,1064,GeneralResearcher,role
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1697636194,1064,t2,shift
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1697702199,1065,GeneralResearcher,role
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1697702199,1065,t1,shift
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1697714789,1066,GeneralResearcher,role
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1697714789,1066,t1,shift
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1697786582,1067,GeneralResearcher,role
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1697786582,1067,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1697792878,1068,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1697792878,1068,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1697811041,1069,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1697811041,1069,t2,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1697822875,1070,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1697822875,1070,t2,shift
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1698215495,1071,GeneralResearcher,role
eamilibia,machine_selection,ideko.es/,110000556 DEC,1.0,1698215495,1071,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1698220506,1072,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1698220506,1072,t1,shift
jalvarez,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1698395400,1073,GrindingResearcher,role
jalvarez,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1698395400,1073,t1,shift
jalvarez,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1698403653,1074,GrindingResearcher,role
jalvarez,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1698403653,1074,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1698751430,1075,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1698751430,1075,t1,shift
afgomez,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1699448165,1076,GeneralResearcher,role
afgomez,machine_selection,ideko.es/,LG600B6-100636-IDK,1.0,1699448165,1076,t1,shift
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1699883345,1077,GrindingResearcher,role
dbarrenetxea,machine_selection,ideko.es/,110000556 DEC,1.0,1699883345,1077,t2,shift
