user,service,value,s,task
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1696325453,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1696325466,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1696328464,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1696332351,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,1,1695628873,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,1,1695633767,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,1,1695635276,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,1,1695712935,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,1,1695713191,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,1,1695985772,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,1,1695985929,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,1,1696254549,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,1,1696315578,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,1,1696325453,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,1,1696325466,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,1,1696328464,schema_monitoring
ggutierrezeizaguirre,TDOMONWH2X1,1,1696332351,schema_monitoring
ggutierrezeizaguirre,Wheelhead2Power,1,1695713191,signal_monitoring
ggutierrezeizaguirre,Wheelhead2Power,1,1696254549,signal_monitoring
ggutierrezeizaguirre,Wheelhead2Power,1,1696315578,signal_monitoring
ggutierrezeizaguirre,Wheelhead2Power,1,1696328464,signal_monitoring
ggutierrezeizaguirre,X1AxisPosition_actual,1,1696254549,signal_monitoring
ggutierrezeizaguirre,X1AxisPosition_actual,1,1696328464,signal_monitoring
ggutierrezeizaguirre,X1AxisSpeed_commanded,1,1696254549,signal_monitoring
ggutierrezeizaguirre,X1AxisSpeed_commanded,1,1696315578,signal_monitoring
ggutierrezeizaguirre,Z1AxisSpeed_commanded,1,1696254549,signal_monitoring
iricondo,CAxisPower,1,1696243851,signal_monitoring
iricondo,DM2 Test,1,1696243851,machine_selection
iricondo,ESTARTA315FV-100626 (E-315,1,1696575691,machine_selection
iricondo,grinding-material-fed,1,1696243851,indicators-selection
iricondo,LG600-B8-110000578 LINAMAR,1,1696243844,machine_selection
iricondo,TDOMONWH2X1,0.5,1696243844,schema_monitoring
iricondo,TDOMONWH2X1,0.5,1696243851,schema_monitoring
iricondo,TDOMONWH2X1,0.5,1696575691,schema_monitoring
iricondo,TDOMONWH2X1,1,1696243844,schema_monitoring
iricondo,TDOMONWH2X1,1,1696243851,schema_monitoring
iricondo,TDOMONWH2X1,1,1696575691,schema_monitoring
jalvarez,CAxisSpeed_actual,1,1696238941,signal_monitoring
jalvarez,LG600B6-100636-IDK,1,1696238941,machine_selection
jalvarez,LG600B6-100636-IDK,1,1698395400,machine_selection
jalvarez,LG600B6-100636-IDK,1,1698403653,machine_selection
jalvarez,TDOMONWH1X1,0.5,1696238941,schema_monitoring
jalvarez,TDOMONWH1X1,0.5,1698395400,schema_monitoring
jalvarez,TDOMONWH1X1,0.5,1698403653,schema_monitoring
jalvarez,TDOMONWH1X1,1,1696238941,schema_monitoring
jalvarez,TDOMONWH1X1,1,1698395400,schema_monitoring
jalvarez,TDOMONWH1X1,1,1698403653,schema_monitoring
jalvarez,TDOMONWH2X1,0.5,1696238941,schema_monitoring
jalvarez,TDOMONWH2X1,0.5,1698395400,schema_monitoring
jalvarez,TDOMONWH2X1,0.5,1698403653,schema_monitoring
jalvarez,TDOMONWH2X1,1,1696238941,schema_monitoring
jalvarez,TDOMONWH2X1,1,1698395400,schema_monitoring
jalvarez,TDOMONWH2X1,1,1698403653,schema_monitoring
jalvarez,Wheelhead1Power,1,1698395400,signal_monitoring
pruiz,110000556 DEC,1,1696422672,machine_selection
pruiz,110000556 DEC,1,1696499620,machine_selection
pruiz,CAxisSpeed_actual,1,1696422680,signal_monitoring
pruiz,common-negate,1,1696422680,transformation_execution
pruiz,grinding-center,1,1696422680,transformation_execution
pruiz,grinding-specific-energy,1,1696422680,indicators-selection
pruiz,LG600B6-100636-IDK,1,1696422680,machine_selection
pruiz,LG600B6-100636-IDK,1,1699952664,machine_selection
pruiz,TDOMONWH2X1,0.5,1696422672,schema_monitoring
pruiz,TDOMONWH2X1,0.5,1696422680,schema_monitoring
pruiz,TDOMONWH2X1,0.5,1696499620,schema_monitoring
pruiz,TDOMONWH2X1,0.5,1699952664,schema_monitoring
pruiz,TDOMONWH2X1,1,1696422672,schema_monitoring
pruiz,TDOMONWH2X1,1,1696422680,schema_monitoring
