user,service,value,s
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1695635276
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1695712935
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1695713191
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1695985772
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1695985929
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1696254549
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1696315578
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1696325453
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1696325466
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1696328464
ggutierrezeizaguirre,TDOMONWH2X1,0.5,1696332351
ggutierrezeizaguirre,TDOMONWH2X1,1,1695628873
ggutierrezeizaguirre,TDOMONWH2X1,1,1695633767
ggutierrezeizaguirre,TDOMONWH2X1,1,1695635276
ggutierrezeizaguirre,TDOMONWH2X1,1,1695712935
ggutierrezeizaguirre,TDOMONWH2X1,1,1695713191
ggutierrezeizaguirre,TDOMONWH2X1,1,1695985772
ggutierrezeizaguirre,TDOMONWH2X1,1,1695985929
ggutierrezeizaguirre,TDOMONWH2X1,1,1696254549
ggutierrezeizaguirre,TDOMONWH2X1,1,1696315578
ggutierrezeizaguirre,TDOMONWH2X1,1,1696325453
ggutierrezeizaguirre,TDOMONWH2X1,1,1696325466
ggutierrezeizaguirre,TDOMONWH2X1,1,1696328464
ggutierrezeizaguirre,TDOMONWH2X1,1,1696332351
ggutierrezeizaguirre,Wheelhead2Power,1,1695713191
ggutierrezeizaguirre,Wheelhead2Power,1,1696254549
ggutierrezeizaguirre,Wheelhead2Power,1,1696315578
ggutierrezeizaguirre,Wheelhead2Power,1,1696328464
ggutierrezeizaguirre,X1AxisPosition_actual,1,1696254549
ggutierrezeizaguirre,X1AxisPosition_actual,1,1696328464
ggutierrezeizaguirre,X1AxisSpeed_commanded,1,1696254549
ggutierrezeizaguirre,X1AxisSpeed_commanded,1,1696315578
ggutierrezeizaguirre,Z1AxisSpeed_commanded,1,1696254549
iricondo,CAxisPower,1,1696243851
iricondo,DM2 Test,1,1696243851
iricondo,ESTARTA315FV-100626 (E-315,1,1696575691
iricondo,grinding-material-fed,1,1696243851
iricondo,LG600-B8-110000578 LINAMAR,1,1696243844
iricondo,TDOMONWH2X1,0.5,1696243844
iricondo,TDOMONWH2X1,0.5,1696243851
iricondo,TDOMONWH2X1,0.5,1696575691
iricondo,TDOMONWH2X1,1,1696243844
iricondo,TDOMONWH2X1,1,1696243851
iricondo,TDOMONWH2X1,1,1696575691
jalvarez,CAxisSpeed_actual,1,1696238941
jalvarez,LG600B6-100636-IDK,1,1696238941
jalvarez,LG600B6-100636-IDK,1,1698395400
jalvarez,LG600B6-100636-IDK,1,1698403653
jalvarez,TDOMONWH1X1,0.5,1696238941
jalvarez,TDOMONWH1X1,0.5,1698395400
jalvarez,TDOMONWH1X1,0.5,1698403653
jalvarez,TDOMONWH1X1,1,1696238941
jalvarez,TDOMONWH1X1,1,1698395400
jalvarez,TDOMONWH1X1,1,1698403653
jalvarez,TDOMONWH2X1,0.5,1696238941
jalvarez,TDOMONWH2X1,0.5,1698395400
jalvarez,TDOMONWH2X1,0.5,1698403653
jalvarez,TDOMONWH2X1,1,1696238941
jalvarez,TDOMONWH2X1,1,1698395400
jalvarez,TDOMONWH2X1,1,1698403653
jalvarez,Wheelhead1Power,1,1698395400
pruiz,110000556 DEC,1,1696422672
pruiz,110000556 DEC,1,1696499620
pruiz,CAxisSpeed_actual,1,1696422680
pruiz,common-negate,1,1696422680
pruiz,grinding-center,1,1696422680
pruiz,grinding-specific-energy,1,1696422680
pruiz,LG600B6-100636-IDK,1,1696422680
pruiz,LG600B6-100636-IDK,1,1699952664
pruiz,TDOMONWH2X1,0.5,1696422672
pruiz,TDOMONWH2X1,0.5,1696422680
pruiz,TDOMONWH2X1,0.5,1696499620
pruiz,TDOMONWH2X1,0.5,1699952664
pruiz,TDOMONWH2X1,1,1696422672
pruiz,TDOMONWH2X1,1,1696422680
pruiz,TDOMONWH2X1,1,1696499620
pruiz,TDOMONWH2X1,1,1699952664
pruiz,TDOMONWH2Z1,0.5,1696422680
pruiz,TDOMONWH2Z1,0.5,1699952664
pruiz,TDOMONWH2Z1,1,1696422680
pruiz,TDOMONWH2Z1,1,1699952664
pruiz,Wheelhead2Power,1,1696422680
pruiz,Wheelhead2Power,1,1696499620
pruiz,Wheelhead2Speed_actual,1,1696499620
